날짜,title,category,summary,img
2020-05-09,"12억 은마가 8억 됐던 그때···부동산, 금융위기 이후 닮아가나",경제,이번 청약은 국민들의 관심이 집중됨에 따른 혼잡을 예방하고 신종플루 확산 방지를 위해 원칙적으로 인터넷 접수를 실시할 계획이다.당시 수도권 집값 장기 침체는 금융위기 여파에 공급 확대 등이 복합적으로 작용한 결과다.금융위기 이후 지방 아파트값은 4개월 '마이너스'를 기록한 뒤 서울 약세 기간 동안 줄곧 상승세를 보였다.,https://imgnews.pstatic.net/image/025/2020/05/09/0002999229_001_20200509105306244.jpg?type=w647
2020-05-09,해외파견 한인 어쩌나…UAE서 한국인 15명 코로나 확진,경제,"해외 근로현장에 파견을 나간 한국 기업의 한국인 직원들이 연이어 신종 코로나바이러스 감염증 확진 판정을 받고 있다.삼성엔지니어링 관계자는 발주처와 협의해 음성 판정을 받은 인력들이 필수 작업만 진행하고 있다며 본국으로 돌아가길 원하는 직원은 복귀 절차를 진행하고 있으며, 한국 의사 원격상담 등 조치도 준비 중이라고 전했다.해외 현장에 나가 일하고 있는 한국인들의 코로나19 감염 소식이 이어지고 있다.",https://imgnews.pstatic.net/image/025/2020/05/09/0002999211_001_20200509071213594.jpg?type=w647
2020-05-09,[그래픽텔링]모르면 편의점밖에 못간다···재난지원금 총정리,경제,헛갈리는 재난지원금 사용처를 로 정리했다.지방자치단체가 아닌 중앙 정부가 주는 지원금의 사용처다.,https://imgnews.pstatic.net/image/025/2020/05/09/0002999222_001_20200515103305386.jpg?type=w647
2020-05-09,가장 안전해…'메이드 인 코리아' 제2 전성기 온다,경제,"포스트 코로나 시대 달라진 글로벌 경제 환경에 대응하기 위한 산업정책은 '제조업 리쇼어링'에 방점이 찍혀야 한다.실제 대한무역투자진흥공사 조사에 따르면 해외 진출기업은 국내복귀를 고려하는 주된 요인으로 해외 현지 인건비 상승 등 경영환경 악화와 더불어 한국의 FTA 네트워크 및 브랜드 효과를 꼽았다.한국에서 '메이드 인 코리아'를 달고 생산할 경우, FTA 관세 혜택은 물론 '메이드 인 차이나'보다 상대적으로 높은 브랜드 가치도 누릴 수 있다는 의미다.",https://imgnews.pstatic.net/image/008/2020/05/09/0004405949_001_20200509070002989.jpg?type=w647
2020-05-09,"[더오래]노후에 부부 둘만 살 단촐한 집, 정하셨나요?",경제,"박현오씨는 부인과 함께 주택청약통장 가입에 대해 의논했다.박씨 부부는 자녀 결혼 후에 살던 집을 정리하고 무주택 여건을 만들고 주변에서 전세로 살다가 노인들을 대상으로 분양하는 임대주택에 입주할 생각이다.33㎡에서 50㎡ 안팎의 임대주택은 시설도 좋고, 입지도 괜찮은 곳이 많으며 주거비용에 대한 부담도 확 줄어든다.",https://imgnews.pstatic.net/image/025/2020/05/09/0002999241_001_20200509090106358.jpg?type=w647
2020-05-09,이태원 클럽 간 인천 20대들 확진 꼬리 물어…오늘 4명 추가(종합),사회,"인천에 거주하는 20대 남성들이 서울 이태원 클럽을 방문했다가 신종 코로나바이러스 감염증 확진 판정을 받는 사례가 잇따르고 있다.우선 인천 97번 확진자 A씨는 지난 2∼3일, 5일에 이태원 킹클럽을 방문했다가 8일 코로나19 확진 판정을 받고 인천시의료원으로 이송됐다.그의 누나 B씨는 이태원 클럽을 방문하진 않았지만, A씨 접촉자로 분류돼 부평구 보건소에서 검체 검사를 한 결과 8일 인천 98번째 확진 판정을 받고 동생과 같은 병원으로 이송됐다.",https://imgnews.pstatic.net/image/001/2020/05/09/PYH2020050816190001300_P4_20200509123107694.jpg?type=w647
2020-05-09,코로나19 신규확진 18명·총 1만840명…이태원 클럽 감염 확산(종합),사회,서울 용산구 이태원동 클럽에서 발생한 집단감염 등으로 9일 국내 신종 코로나바이러스 감염증 확진자가 18명 증가했다.신규 확진자 18명 중 17명은 국내에서 발생한 지역사회 감염 사례로 분류된다.초기 발병자로 추정되는 용인 66번 확진자가 서울 이태원 클럽을 방문하면서 벌어진 코로나19 집단감염이 수도권을 중심으로 번져나가고 있다.,https://imgnews.pstatic.net/image/001/2020/05/09/PYH2020050805330001300_P4_20200509105307862.jpg?type=w647
2020-05-09,제주 14번째 코로나19 확진자 발생…이태원 클럽 다녀온 여성,사회,제주에서 신종 코로나바이러스 감염증 14번째 확진자가 발생했다.제주특별자치도는 서울 용산구 이태원 킹클럽에 다녀온 30대 여성 A씨가 확진 판정을 받으면서 도내 14번째 확진자가 발생했다고 9일 밝혔다.도에 따르면 A씨는 지난 2일 제주에서 서울로 이동해 5일 자정무렵부터 오전 6시까지 서울 용산구 이태원 소재 킹클럽에 머물렀다.,https://imgnews.pstatic.net/image/003/2020/05/09/NISI20200330_0000503428_web_20200330140319_20200509222804604.jpg?type=w647
2020-05-09,"박원순 ""유흥시설 집합금지 발령…이태원 관련 전국 40명 확진""(종합)",사회,"박원순 서울시장은 이태원 클럽발 신종 코로나바이러스 감염증 집단감염 사태를 계기로 시내 모든 유흥시설에 대한 집합금지명령을 발동했다.박 시장은 또 경기도  확진자가 다녀간 이태원 클럽들에서 집단감염이 발생해 서울에서 지금까지 27명이 확진됐다며 오늘 낮 12시 기준 16명이 추가된 것이며 가족과 지인을 포함한 수치라고 설명했다.이어 이태원 클럽 관련 전체 확진자 수는 서울 27명, 경기 7명, 인천 5명, 부산 1명 등 40명이라며 앞으로 추가 확진자가 더 발생할 것이라고 우려했다.",https://imgnews.pstatic.net/image/001/2020/05/09/PYH2020042719390001300_P4_20200509142509680.jpg?type=w647
2020-05-09,"‘용인 66번’ 회사 티맥스, 폭로 나온 뒤 내놓은 입장문",사회,'용인 66번' 환자를 포함해 2명의 신종 코로나바이러스 감염증 확진자가 근무한 IT기업 티맥스소프트가 직원 전수 검사를 진행하겠다고 밝혔다.앞서 직장인 익명 커뮤니티에 티맥스 사측이 감염자 발생 후에도 직원들의 정상출근을 강요했다는 폭로글이 등장하자 사실관계를 밝히기 위한 조치로 보인다.,https://imgnews.pstatic.net/image/005/2020/05/08/611211110014559903_1_20200508204203900.jpg?type=w647
